nombre,precio_alquiler,precio_venta,superficie_venta,codi_districte,nom_districte,codi_barri,elasticidad_10y_stars,rentabilidad_10y_stars,grow_acu_alquiler_10y_stars,grow_acu_venta_10y_stars,año,num_mes,trimestre,dia_semana,precio_alquiler_lag_1,precio_alquiler_lag_3,precio_alquiler_lag_6,precio_alquiler_lag_12
baro de viver,4.92984375,634.307692307692,143.85714285714286,9,6,58,1.0,3,5,3,2015,1,1,3,4.829861111111111,4.629895833333333,4.329947916666667,3.92
baro de viver,5.146829166666667,636.5201465201462,138.78571428571428,9,6,58,1.0,3,5,3,2015,2,1,6,4.92984375,4.7298784722222225,4.429930555555556,3.9566666666666666
baro de viver,5.363814583333333,638.7326007326005,133.71428571428572,9,6,58,1.0,3,5,3,2015,3,1,6,5.146829166666667,4.829861111111111,4.529913194444444,3.9933333333333336
baro de viver,5.5808,640.9450549450548,128.64285714285714,9,6,58,1.0,3,5,3,2015,4,2,2,5.363814583333333,4.92984375,4.629895833333333,4.03
baro de viver,4.917866666666667,643.157509157509,123.57142857142857,9,6,58,1.0,3,5,3,2015,5,2,4,5.5808,5.146829166666667,4.7298784722222225,4.129982638888889
baro de viver,4.254933333333334,645.3699633699632,118.5,9,6,58,1.0,3,5,3,2015,6,2,0,4.917866666666667,5.363814583333333,4.829861111111111,4.229965277777778
baro de viver,3.592,647.5824175824175,113.42857142857143,9,6,58,1.0,3,5,3,2015,7,3,2,4.254933333333334,5.5808,4.92984375,4.329947916666667
baro de viver,3.551768760750707,649.7948717948718,108.35714285714286,9,6,58,1.0,3,5,3,2015,8,3,5,3.592,4.917866666666667,5.146829166666667,4.429930555555556
baro de viver,3.5115375215014133,652.007326007326,103.28571428571429,9,6,58,1.0,3,5,3,2015,9,3,1,3.551768760750707,4.254933333333334,5.363814583333333,4.529913194444444
baro de viver,3.47130628225212,654.2197802197802,98.21428571428572,9,6,58,1.0,3,5,3,2015,10,4,3,3.5115375215014133,3.592,5.5808,4.629895833333333
baro de viver,3.431075043002827,656.4322344322345,93.14285714285714,9,6,58,1.0,3,5,3,2015,11,4,6,3.47130628225212,3.551768760750707,4.917866666666667,4.7298784722222225
baro de viver,3.3908438037535333,658.6446886446888,88.07142857142857,9,6,58,1.0,3,5,3,2015,12,4,1,3.431075043002827,3.5115375215014133,4.254933333333334,4.829861111111111
baro de viver,3.35061256450424,660.857142857143,83.0,9,6,58,1.0,3,5,3,2016,1,1,4,3.3908438037535333,3.47130628225212,3.592,4.92984375
baro de viver,3.433265746169825,618.7261904761905,84.625,9,6,58,1.0,3,5,3,2016,2,1,0,3.35061256450424,3.431075043002827,3.551768760750707,5.146829166666667
baro de viver,3.51591892783541,576.595238095238,86.25,9,6,58,1.0,3,5,3,2016,3,1,1,3.433265746169825,3.3908438037535333,3.5115375215014133,5.363814583333333
baro de viver,3.598572109500995,534.4642857142854,87.875,9,6,58,1.0,3,5,3,2016,4,2,4,3.51591892783541,3.35061256450424,3.47130628225212,5.5808
baro de viver,3.68122529116658,492.333333333333,89.5,9,6,58,1.0,3,5,3,2016,5,2,6,3.598572109500995,3.433265746169825,3.431075043002827,4.917866666666667
baro de viver,3.763878472832165,571.3357843137251,91.125,9,6,58,1.0,3,5,3,2016,6,2,2,3.68122529116658,3.51591892783541,3.3908438037535333,4.254933333333334
baro de viver,3.84653165449775,650.3382352941172,92.75,9,6,58,1.0,3,5,3,2016,7,3,4,3.763878472832165,3.598572109500995,3.35061256450424,3.592
