tipo,nombre,precio_venta_10y,superficie_venta_10y,elasticidad_10y,precio_venta_5y,superficie_venta_5y,elasticidad_5y,precio_alquiler_10y,rentabilidad_10y,precio_alquiler_5y,rentabilidad_5y,grow_acu_alquiler_10y,grow_acu_venta_10y,grow_acu_superficie_venta_10y,grow_acu_alquiler_5y,grow_acu_venta_5y,grow_acu_superficie_venta_5y,elasticidad_10y_stars,rentabilidad_10y_stars,grow_acu_alquiler_10y_stars,grow_acu_venta_10y_stars
barri,baro de viver,1165.3513,319.6667,inf,1497.0045,399.4583,inf,6.3568,0.0729,7.7588,0.0637,0.6392,0.3759,5.7256,0.2472,-0.0599,5.3465,1,3,5,3
barri,can baro,2547.7874,771.8333,2.752,2844.4027,547.3,5.9784,12.5963,0.0598,13.9205,0.0592,-0.0598,0.4772,9.1814,-0.1675,-0.0366,0.6697,1,2,1,3
barri,can peguera,2219.1417,132.8,-inf,2548.1667,151.75,-0.0921,8.6281,0.0746,,,0.1931,-0.202,0.7108,-0.1906,-0.1747,1.2159,1,3,3,1
barri,canyelles,1852.4575,566.9917,inf,2100.773,870.6,-0.1252,9.0876,0.0593,9.9978,0.0573,0.0173,-0.2173,9.4938,-0.0567,-0.3277,6.105,1,2,2,1
barri,ciutat meridiana,1467.6075,564.6727,0.1997,1768.7122,741.64,1.0996,8.6139,0.0757,9.7698,0.0673,0.152,0.4325,1.2664,0.092,-0.0421,-0.0456,1,3,2,3
barri,diagonal mar i el front maritim del poblenou,4739.0563,3470.8924,-0.3065,4849.1134,1463.6633,-0.348,16.0031,0.0407,17.6537,0.044,0.3142,0.1575,109.9596,0.0052,-0.0891,-0.8657,1,1,3,2
barri,el baix guinardo,3125.2057,1460.205,-inf,3484.6011,1389.92,0.0245,12.9627,0.0502,14.4532,0.0499,0.0505,0.3311,3.4633,-0.0158,-0.0213,0.2896,1,1,2,3
barri,el barri gotic,3806.1412,4598.3533,-inf,4187.9836,5820.2667,0.0645,13.7102,0.0436,14.7403,0.0423,-0.1736,-0.0794,23.6988,-0.2337,-0.222,22.9066,1,1,1,2
barri,el besos i el maresme,2026.7394,2405.1667,-0.2601,2389.3074,2971.5,-0.7856,10.8616,0.065,12.4229,0.0627,-0.0052,0.5339,3.4117,-0.083,0.2542,2.5746,1,2,1,3
barri,el bon pastor,1996.311,1043.8364,0.1147,2195.8099,757.9467,0.0376,10.2792,0.0621,11.3084,0.0618,0.3512,0.2405,11.3123,0.2298,0.0392,1.5409,1,2,4,3
barri,el camp d'en grassot i gracia nova,3591.864,3833.3864,0.1032,3983.9219,2606.0,0.0011,14.0687,0.0473,15.6255,0.047,0.1694,0.2706,13.5365,-0.007,0.127,3.1737,1,1,3,3
barri,el camp de l'arpa del clot,3053.349,4814.6288,-0.0091,3383.6097,6200.4667,-0.0207,13.1261,0.052,14.5198,0.0514,0.0524,0.2582,9.0532,-0.0951,-0.0565,3.7644,1,2,2,3
barri,el carmel,2056.4977,3351.265,inf,2306.4665,2029.625,inf,11.4525,0.0674,12.7553,0.0664,0.0644,0.2966,8.9417,-0.0499,0.0074,1.7212,1,3,2,3
barri,el clot,2985.0716,1730.5348,-0.1925,3437.1813,2691.5267,-0.0507,12.8007,0.052,14.2278,0.0497,0.126,0.2498,13.6934,-0.0473,0.1904,9.0298,1,2,2,3
barri,el coll,2572.4605,485.2909,-0.4593,2938.8176,577.4,-0.7372,12.3439,0.0587,13.5376,0.0561,0.0242,-0.2112,4.7124,-0.0847,-0.3398,1.5679,1,2,2,1
barri,el congres i els indians,2523.4018,2789.0394,0.0002,2910.9135,5056.9,-0.0853,11.8164,0.0572,13.0326,0.0537,0.16,0.087,31.0162,-0.0073,-0.0668,5.7387,1,2,2,2
barri,el fort pienc,3474.8118,2390.5985,0.2592,3864.363,1517.85,0.0849,13.3078,0.0462,14.6634,0.0456,0.0198,0.1075,10.0334,-0.1047,0.0279,1.4691,1,1,2,2
barri,el guinardo,2762.0932,4999.7364,0.1758,3159.7404,5178.4367,0.2153,12.5108,0.0548,13.8997,0.0528,0.0566,0.1179,26.901,-0.0454,0.1614,15.0965,1,2,2,2
barri,el parc i la llacuna del poblenou,3458.4258,1530.9294,inf,3980.8826,1718.2229,0.0189,14.2965,0.0504,15.9506,0.0481,0.1256,0.2072,-0.787,-0.0478,0.1421,0.083,1,1,2,3
barri,el poble sec,3122.4779,4130.5,-0.0169,3485.5005,5896.5333,0.1135,13.8139,0.0542,15.252,0.0524,0.0891,0.0837,9.4601,-0.0602,-0.045,2.1209,1,2,2,2
barri,el poblenou,3660.0045,4050.4545,0.0388,4180.1716,2194.4333,0.0631,14.6846,0.0484,16.5167,0.0474,0.1054,0.0869,10.7394,-0.053,0.023,-0.586,1,1,2,2
barri,el putxet i el farro,3788.3088,4095.1455,0.1681,4209.6313,4220.7,0.2683,14.7229,0.0472,16.0388,0.0458,0.0856,0.1324,14.0389,-0.0252,-0.0447,3.2663,1,1,2,2
barri,el raval,2819.9276,4898.6111,,3034.0938,2250.1667,,13.6587,0.0585,14.7888,0.0584,-0.0848,0.4076,10.0092,-0.1945,0.1387,-0.4866,,2,1,3
barri,el turo de la peira,2028.3365,1220.4333,inf,2294.3096,2058.7667,0.4346,11.0038,0.0656,12.3246,0.0647,0.2461,0.5188,12.4414,0.0483,0.158,9.6035,1,2,3,3
barri,horta,2540.9093,3285.6212,38.0795,2880.4481,4841.7667,0.4121,11.8841,0.0567,13.0951,0.0547,0.1255,0.1527,12.8168,-0.0453,-0.0209,1.7606,5,2,2,2
barri,hostafrancs,2956.9904,1482.7444,,3421.3911,860.8444,,13.3421,0.0554,14.578,0.0513,0.0194,0.2723,13.8843,-0.0609,0.0635,-0.5319,,2,2,3
barri,l'antiga esquerra de l'eixample,4211.7342,6539.3182,0.4973,4723.4748,10348.9,0.0692,14.0326,0.0402,15.4593,0.0392,0.194,0.5758,10.2702,0.0263,0.1979,5.9114,1,1,3,4
barri,la barceloneta,3895.4024,1234.1758,0.03,4032.4971,1655.0667,-0.017,17.8447,0.0553,18.4049,0.0547,-0.0383,-0.1285,13.9059,-0.1733,-0.0947,10.895,1,2,1,2
barri,la bordeta,2776.1863,2499.6967,-inf,3088.5843,3196.5933,0.0798,13.115,0.0569,15.4356,0.0597,0.0435,0.0846,42.2628,-0.1257,-0.1213,0.19,1,2,2,2
barri,la clota,1686.4076,377.0,0.9278,3453.6636,199.1667,1.3793,11.876,0.1136,13.3312,0.0498,0.1383,0.7393,1.4488,0.0209,0.23,0.4606,1,5,2,4
barri,la dreta de l'eixample,4797.9496,8057.5303,0.1338,5362.1846,10723.9667,0.3128,13.8335,0.0348,15.1421,0.0339,0.1181,0.4073,17.8703,-0.082,0.2421,8.7647,1,1,2,3
barri,la font d'en fargues,2907.1324,676.7303,-4.0207,3202.4917,910.6,0.6854,12.7868,0.0533,14.0832,0.0528,0.0209,0.3724,-1.1369,0.0484,0.0473,-1.1544,1,2,2,3
barri,la font de la guatlla,2899.8077,1490.4985,-0.094,3279.2118,1795.28,-0.2328,13.1222,0.0553,14.4273,0.0529,-0.03,0.1293,10.0724,-0.0907,0.0136,5.0946,1,2,1,2
